,date,title,contents
29,2022/08/02,"카카오, 석달간 계열사 8개 신규 편입",가운데 카카오가 가장 많은 계열사를 편입한 것으로 나타났다. 2일 공정거래위원회가 공개한 ‘5∼7월 대규모기업집단 소속회사 변동 현황’을 보면 카카오는 3개월간 8개 계열사를 신규편입했다. 이는 같은 기간...
30,2022/08/02,‘시중은행보다 금리 낮네’ 인터넷은행 가계대출 7개월째 증가,"카카오뱅크와 케이뱅크 등 인터넷전문은행의 가계대출 잔액이 7개월 연속 증가했다. 2일 은행권에 따르면 카카오뱅크와 케이뱅크의 지난달 말 여신 잔액은 각각 26조9504억원, 9조1600억원으로 집계됐다. 전달 대비..."
31,2022/08/02,"[동향] 배송 경쟁 분화, 각자 잘할 수 있는 곳에 진지 구축중","이외에도 카카오모빌리티, 팀프레시, 메쉬코리아에 투자했다. 딜리버리히어로코리아 인수로 인한 시너지 효과로 퀵커머스 게임체인저로 여겨졌다. GS25나 GS슈퍼마켓 등을 MFC로 활용하는 시너지 효과가 예상됐기..."
32,2022/08/02,배달 실수 지적하자... 뿔난 점주의 답변 “목소리도 안 예쁜게”,해당 식당 상호명을 찾아 카카오맵에 ‘별점 테러’를 하는 네티즌들도 있었다. 이들은 별점 1점과 함께 “사장 무서워서 음식 시키겠나” “손님에게 건방지다고 하다니” 등의 글을 남겼다. 식당에 달린 리뷰 84개 중...
33,2022/08/02,"코스닥, 외인과 기관 매도에 하락 마감…HLB, 스튜디오드래곤 상승 VS 에코프...","HLB(3.26%), 스튜디오드래곤(2.82%), 카카오게임즈(0.20%), 알테오젠(0.16%)이 상승 마감했다. 이에 반해 에코프로비엠(-1.72%), 천보(-1.15%), 셀트리온제약(-0.96%), 엘앤에프(-0.79%), 펄어비스(-0.57%), 셀트리온헬스케어(-0...."
34,2022/08/02,"[공매도 TOP 10 종목] 코스피, 대한전선 공매도 1위…우리금융지주-두산에너빌...","(17만3159주), 카카오뱅크(16만2375주), 금호타이어(15만5311주), 한화생명(15만4609주), 현대두산인프라코어(13만9348주), 팬오션(14만5700주), 대우건설(14만946주), 한화시스템(13만5186주) 순으로 뒤를 이었다. 카카오뱅크..."
35,2022/08/02,"""상장사 대주주, 31일까지 양도세 신고·납부""","국세청은 문자메시지 또는 카카오톡으로 모바일 안내문이 발송돼 간단한 본인 인증을 거쳐 안내 내용을 확인할 수 있고, 모바일 안내가 불가능한 경우(다수 회선자, 수신거부 등)와 60세 이상 납세자에게는 종이 안내문을..."
36,2022/08/02,"리버풀, 조타와 연장 계약 체결…2027년까지 동행","햄스트링 부상으로 프리시즌에 참여하지 못하고 있다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
37,2022/08/02,'BIX 2022' 3일 개막…제약·바이오 최신 트렌드 한눈에,아울러 카카오VX 골프 시타 코너도 흥행 요소가 될 전망이다. 주요 후원사로 △삼성바이오에피스 △써모피셔 사이언티픽 △사토리우스 △에스랩 △싸이티바 △엔비로테이너 △UPS 헬스케어 △쉥커 코리아...
38,2022/08/02,북구 ‘정책 키워드 찾기’ 행사,SNS 이용자 누구나 참여 가능한 이번 행사는 카카오톡 채널 및 페이스북 등 북구 SNS와 친구를 맺은 후 주어진 그림 속 민선 8기 북구 정책 키워드를 찾아 카카오톡이나 네이버폼에 정답을 순서대로 제출하면 된다.
39,2022/08/02,클래식 가족음악회 '밤의 요정 빅토리아' 8월 5일 티켓 오픈,"그 외 자세한 사항은 시흥시 음악협회 홈페이지 및 전화, 카카오채널 시흥시 음악협회로 문의하면 된다. 시흥시 중부건강생활지원센터는 세계모유수유주간을 맞아 8월 1일부터 7일까지 모유수유 캠페인을 운영한다. 매년..."
40,2022/08/03,"비대위 반대한 김웅, '국힘 바로 세우기' 설문조사 나서…""공론장 기대""","설문지에는 개인정보 수집 및 이용 동의 여부와 함께 이름, 나이, 성별, 거주지, 전화번호, 이메일 주소, 카카오톡 오픈 채팅방 초대 동의 여부, 국민의힘에게 한 마디를 쓸 수 있는 문항이 나열됐다. 국민의힘은 지난 1일..."
41,2022/08/03,"[마감] LG에너지솔루션, 시총 100조원 재돌파...중국 대만 규제에 식품주 강세","45%), 카카오(5.85%) 등이 상승했다. 삼성전자(-0.65%) 등은 내렸다. LG에너지솔루션(4.80%)은 이날 종가... 카카오게임즈(13.98%)는 연결 기준 올해 2분기 영업이익이 810억원으로, 지난해 동기보다 900.2% 증가한..."
